name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,Free Parking,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Pet Friendly,Outdoor Pool,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Terrace,Swimming Pool,24-Hour Front Desk,Dist
Sheraton Gateway Los Angeles,90045.0,5663.0,8.1,8.5,8.4,8.0,7.8,7.4,7.2,8.2,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,11.2
The Jeremy Hotel West Hollywood,90069.0,563.0,8.9,9.3,9.0,8.7,8.9,8.2,9.5,9.1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,8.1
Hampton Inn & Suites Santa Monica,90401.0,867.0,8.3,8.8,8.6,8.2,8.2,7.2,8.4,8.9,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,14.3
"Beverly Wilshire, A Four Seasons Hotel",90212.0,427.0,8.9,9.1,9.0,8.7,9.2,7.6,8.4,9.6,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,8.7
The London West Hollywood at Beverly Hills,90069.0,865.0,8.8,9.2,9.1,8.9,8.9,7.9,8.9,8.9,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,8.1
Mr C Beverly Hills,90035.0,464.0,8.4,8.8,8.7,8.3,8.7,7.4,7.8,8.6,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,8.7
LEVEL Furnished Living Suites Downtown Los Angeles,90015.0,390.0,9.0,9.3,9.3,9.3,9.1,8.1,9.5,9.0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1.0
Radisson Hotel Los Angeles Midtown at USC,90007.0,1301.0,8.2,8.6,8.4,8.1,8.4,7.4,8.4,8.3,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,3.1
DoubleTree Suites by Hilton Santa Monica,90028.0,1255.0,8.0,8.4,8.2,7.8,8.5,6.7,5.5,8.4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,14.3
Viceroy L'Ermitage Beverly Hills,90210.0,445.0,9.2,9.6,9.5,9.2,9.3,8.5,9.5,9.3,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,8.7
Plaza la Reina,90024.0,208.0,9.1,9.3,9.2,9.1,9.1,8.6,9.9,9.3,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,11.2
Marina del Rey Suites,90292.0,355.0,9.0,9.2,9.2,9.1,8.9,8.5,9.5,9.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,11.8
Waldorf Astoria Beverly Hills,90210.0,71.0,9.3,9.7,9.6,9.5,9.4,8.3,8.5,9.3,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,9.3
Hotel Figueroa Downtown Los Angeles,90015.0,155.0,8.9,9.2,9.0,8.7,9.2,8.1,9.0,9.1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1.3
Beverly Laurel Motor Hotel,90048.0,1613.0,8.5,8.9,8.4,8.2,8.8,8.0,8.9,8.8,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,6.8
Popular Hollywood Rockstar Penthouse,90028.0,7.0,8.0,7.5,8.6,7.5,6.4,8.2,9.7,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.2
Best Western Plus Sunset Plaza Hotel,90069.0,1045.0,8.4,8.7,8.5,8.2,8.3,7.6,8.4,8.7,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,7.5
Kimpton Everly Hotel,90028.0,363.0,9.0,9.4,9.4,9.0,9.2,8.1,8.7,8.8,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5.6
InterContinental Los Angeles Century City at Beverly Hills,90067.0,512.0,8.6,9.0,8.9,8.6,9.0,7.7,7.5,8.6,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,9.3
Venice on the Beach Hotel,90291.0,1665.0,8.5,8.7,8.1,7.9,9.1,7.6,8.6,9.5,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,13.7
BLVD Hotel & Spa,91604.0,956.0,8.2,8.7,8.4,7.9,8.5,7.5,7.8,8.5,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,8.7
Casa Del Mar,90405.0,549.0,8.8,9.2,9.1,8.8,9.0,7.4,9.0,9.4,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,14.3
Hyatt Regency Los Angeles International Airport,90045.0,2762.0,8.6,8.9,8.9,8.6,8.7,7.9,8.1,8.9,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,11.2
