,pos,neg,total
Sheraton Gateway Los Angeles,0.40388927310032896,-0.01290691932206605,0.2011955261716994
The Jeremy Hotel West Hollywood,0.4453475144002005,0.0447917574766743,0.2650574508193821
Hampton Inn & Suites Santa Monica,0.4029395713736748,-0.010444814168452134,0.22263795939586178
Spacious Apartment in Westwood UCLA *27,0.366,-0.015598290598290602,0.15031400966183572
"Beverly Wilshire, A Four Seasons Hotel",0.4946773006955589,0.01921484565388883,0.3013074803141578
The London West Hollywood at Beverly Hills,0.4878546290833505,0.032946926396170265,0.3000756820162361
Mr C Beverly Hills,0.4792217777345287,0.037482232094226575,0.2758101580775194
LEVEL Furnished Living Suites Downtown Los Angeles,0.4106730479351938,0.07165826404068977,0.28266117654128137
Radisson Hotel Los Angeles Midtown at USC,0.40192230924812894,0.004493143826499723,0.22078078746807098
DoubleTree Suites by Hilton Santa Monica,0.41154804112282434,-0.02768116755683244,0.20991453833279197
Viceroy L'Ermitage Beverly Hills,0.4867658766074892,0.01927626761235397,0.3528064732817337
Plaza la Reina,0.37548006394856287,0.08947586204304954,0.2928648336384509
Marina del Rey Suites,0.4039395363408522,0.008652150416390945,0.2877468653816238
Waldorf Astoria Beverly Hills,0.5671267553584627,-0.07874608150470219,0.29955086580086593
Hotel Figueroa Downtown Los Angeles,0.39938889546855905,-0.01471413141744467,0.21877215238598652
Beverly Laurel Motor Hotel,0.41064574724163294,0.047564854455654455,0.29440412921847664
Popular Hollywood Rockstar Penthouse,0.42095238095238097,0.011447811447811448,0.1906060606060606
Best Western Plus Sunset Plaza Hotel,0.44277752040611407,0.009089753912571897,0.2955533075366785
Kimpton Everly Hotel,0.4499242889024966,0.0976631946935815,0.3503344001761911
InterContinental Los Angeles Century City at Beverly Hills,0.4500056492915099,-0.04419211560431846,0.26107933298108243
Venice on the Beach Hotel,0.4357430783664901,0.03088727144650223,0.2930869644901376
BLVD Hotel & Spa,0.356117748636084,-0.004181686813277242,0.21409575840953252
Casa Del Mar,0.48418296677664774,0.05244427641940012,0.29967992271036703
Hyatt Regency Los Angeles International Airport,0.4068067226890757,0.015397740990353936,0.26669777639720543
The NoMad Los Angeles,0.47392424242424214,0.029130040563111453,0.2892699634784324
Andaz West Hollywood-a concept by Hyatt,0.43373465597599664,0.08171168317136018,0.32906528717170086
Hollywood Luxury Suite * 5 beds + Parking,0.388452380952381,-0.004166666666666652,0.3099285714285715
Montage Beverly Hills,0.4614293758043758,0.036762071262071254,0.2870681097558568
"Luxury, Hollywood Walk of Fame",0.3853657453657454,-0.09970818557919618,0.18325882791563597
Luxury Apartment Near The Grove,0.41173188405797095,-0.024895833333333315,0.3166836734693877
Hilton Los Angeles-Universal City,0.38136291860378774,0.0014163574242161466,0.2043093338788677
DTLA Convention Center Suite,0.34698087647306397,0.075,0.2597417274156661
Lexen Hotel - Hollywood,0.4043240468240465,0.04536587434921113,0.2654699420735023
The Charlie West Hollywood,0.4157829456000182,0.0610134035134035,0.2821173984879566
Loews Hollywood Hotel,0.449022346984081,-0.007438703036122964,0.26749370062900363
Downtown Oasis in DTLA,0.49577235772357736,0.28500000000000003,0.4544444444444445
Luxury Apartments in Downtown LA,0.40567975675118506,0.022830371771499002,0.18784327536740192
DTLA Convention Center Upscale Apartment,0.3154855040792541,0.7,0.3554508252164502
Ace Hotel Downtown Los Angeles,0.46219369309690395,0.011732999738442749,0.2729209660021175
The Georgian Hotel,0.4686946883531347,0.028031354058728405,0.290698306089763
Hotel Beverly Terrace,0.44188421967312397,0.03406307694154279,0.3196778028257786
Huntley Santa Monica Beach,0.492737527122108,0.007981314177604998,0.27719953666707414
Residence Inn by Marriott Beverly Hills,0.46142497504867086,-0.009018076905173669,0.24942618779513318
Luxe City Center Hotel,0.39904889837906227,0.0003256392503302405,0.2274409442078362
Chic Staples Center Apartment,0.28720238095238093,0.29263157894736846,0.28690104166666663
SIXTY Beverly Hills,0.4590731302471738,-0.018084146134453218,0.22536357541590987
Hollywood Blvd Plush Apartment,0.4791824841824842,0.020160256410256427,0.24967137029637032
Friendship Motor Inn,0.3813332744415335,0.06281494643283024,0.2851657564199817
Two Bedroom near Boardwalk,0.53,-0.08333333333333333,0.30000000000000004
Viceroy Santa Monica,0.4609337471077774,0.012739882739139554,0.24783614274112004
Luxury Apartments Near the Grove,0.5278431372549021,0.24962406015037594,0.38100529100529096
Venice Breeze Suites,0.46708729016640055,0.021234049420524842,0.2806748914445119
"Walk to Beach 2-BDRM w/ Pool, Gym, Rooftop Lounge",0.42,0.10972222222222221,0.21314814814814817
Shore Hotel,0.4784754634635618,0.03260280948617511,0.280575719993043
Urban Hollywood Blvd Cinema Suite,0.6999999999999998,0.0361111111111111,0.25740740740740736
Travelodge by Wyndham Culver City,0.39625728223420276,-0.03271900014571025,0.21864709947497218
Four Seasons Hotel Los Angeles at Beverly Hills,0.4789492362982928,0.006395459699031125,0.3045102189642761
Hotel Aventura,0.3882132350207486,0.06134770534914222,0.27398416678563087
Hotel Erwin,0.4552999250493487,0.05011389441777171,0.2895542079846339
Amazing Apartments near the grove,0.3352000000000001,0.0,0.3352000000000001
Hotel Bel-Air,0.48588017174082754,0.037875591757170715,0.3433940764387692
Popular Hollywood Upstairs Downstairs Penthouse,0.42351851851851857,-0.038839285714285694,0.14208333333333334
Popular Hollywood Blvd 2BR/BA Oscars,0.3705408902691511,0.049345083283793674,0.16991858917842223
The Beverly Hills Hotel,0.4686732069874007,0.0917583974981934,0.3616969063247428
Heart of Hollywood,0.4589822266934943,0.0341156462585034,0.3890042016806723
Spacious Town House - 2 Levels,0.3868189368770764,0.5,0.3942003105590062
Popular Hollywood Blvd View Penthouse,0.3887321428571429,0.043956263035210406,0.22076440653363738
Popular Hollywood Walk of Fame Penthouse,0.4177279813440527,0.030521541950113383,0.1595903550814265
Los Angeles Airport Marriott,0.4029625122450708,-0.02764187228900108,0.19645143542045027
Beautiful Large Duplex House at The GROVE | Free Parking,0.5522756410256411,0.38888888888888884,0.5353735632183908
Downtown LA Mandarin Resort Style Suite,0.3745063025210083,-0.01253019323671497,0.1519603174603175
Groovy 2-Bedroom Condo with Terrace,0.3670739348370928,-0.13854166666666667,0.31892006802721096
Mayumi,0.3469849425936384,0.06636574074074075,0.25077264481550204
East West Comfort: Studio City Universal Apartments,0.46249999999999997,0.01874999999999999,0.2554166666666667
Marina Studio by the Venice Beach,0.3859375,0.2785714285714286,0.3501488095238095
Hotel Sofitel Los Angeles at Beverly Hills,0.43820094368040585,-0.0035253101979412474,0.2346966883468045
Popular The Grove Upscale Suite,0.4769345238095238,-0.07930323644609358,0.12296504001049455
