name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Private Parking,Airport Shuttle (free),Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Baggage Storage,Laundry,Free WiFi,Air Conditioning,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Designated Smoking Area,Facilities for Disabled Guests,good Spa & Wellness Center,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Hotel Pennsylvania,10001,"35,615",5.6,5,4.9,4.7,5.6,5.2,6.3,8.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.4 miles from center)
Radisson Martinique on Broadway,10001,"7,925",8.2,8.5,8.1,7.9,8.1,7.5,8.5,9.2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.4 miles from center)
Residence Inn by Marriott New York Manhattan/Times Square,10018,"3,537",8.3,8.2,8.2,8,8.4,7.5,8.5,9.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.1 miles from center)
MADE Hotel,10001,"1,192",9.1,9.4,9,8.9,9.4,8.5,9.6,9.4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.6 miles from center)
LUMA Hotel - Times Square,-7315,"2,212",9.2,9.5,9.3,9,9.3,8.3,9.1,9.7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1 miles from center)
"The Standard, High Line New York",10014,"2,822",8.3,8.7,8.3,8.2,8.3,7.2,8.4,9.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(2.3 miles from center)
citizenM New York Times Square,10019,"5,323",9.2,9.5,9.1,9.2,9.4,8.3,9.6,9.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,"(2,600 feet from center)"
Gansevoort Meatpacking,10014,"1,863",8.3,8.6,8.3,8.1,8.4,7.3,8.9,9.1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,(2.3 miles from center)
Courtyard by Marriott New York Manhattan/Central Park,10019,"5,459",8.0,8.2,8.1,7.7,7.9,7.2,8.4,9.1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(1,500 feet from center)"
"The Langham, New York, Fifth Avenue",10018,"1,143",9.2,9.5,9.4,9,9.5,8.3,9.3,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,(1.2 miles from center)
Hyatt Centric Times Square New York,10036,"4,283",8.7,9.1,9,8.6,8.5,7.8,9.1,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,(0.7 miles from center)
The Assemblage John Street,10038,66,9.4,9.7,9.7,9.2,9.5,8.8,10,9.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,(3.7 miles from center)
Splendid Apartment by Times SQ,10036,414,8.0,7.8,8.3,7.9,7.9,7.7,9.1,8.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(1 miles from center)
Warwick New York,10019,"4,010",8.4,8.6,8.5,8,8.3,7.5,8.2,9.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"(2,450 feet from center)"
Radio City Apartments,10019,"4,036",8.5,8.6,8.2,8.1,8.5,8.3,9,9.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"(3,100 feet from center)"
Crowne Plaza Times Square,10019,"7,333",8.2,8.3,8.3,7.9,8.1,7.2,8.4,9.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(2,950 feet from center)"
Executive Hotel Le Soleil New York,10018,"2,787",8.5,8.8,8.5,8.2,8.7,7.8,8.8,9.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.2 miles from center)
Hyatt Place New York/Midtown-South,10018,"3,458",8.6,8.7,8.5,8.2,8.8,7.9,8.8,9.3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.2 miles from center)
Lux 1 Bed in Times Square,10036,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
InterContinental New York Times Square,10036,"3,175",8.0,8.2,8.3,7.8,7.7,7.1,7.6,8.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.8 miles from center)
AKA Central Park,10019,866,8.5,8.3,8.6,8.2,8.7,7.6,9.3,9.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"(2,300 feet from center)"
Hyatt House New York/Chelsea,10001,"1,738",8.8,8.9,8.9,8.7,8.8,8.2,9,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,(1.6 miles from center)
Archer Hotel New York,10018,"1,188",8.9,9.3,8.7,8.7,9.3,8,9.2,9.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.1 miles from center)
"The Beekman, a Thompson Hotel",10038,"1,937",9.3,9.6,9.4,9.3,9.5,8.7,9.4,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,(3.7 miles from center)
3BDR/2BATH 2min from Times Square,10018,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1 miles from center)
New York Marriott Marquis,10036,"3,392",8.2,8.3,8.3,8,8.2,7,4.6,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,(0.7 miles from center)
Cambria Hotel New York - Times Square,10036,"3,904",8.8,9.1,8.7,8.5,8.6,8.2,9.1,9.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.8 miles from center)
Broadway at Times Square Hotel,10036,"3,163",8.4,8.3,8.1,7.9,8.7,7.9,8.6,9.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(0.7 miles from center)
MOXY NYC Times Square,10018,"2,719",8.4,8.8,8,8.2,8.6,7.7,8.6,9.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.2 miles from center)
Nolitan Hotel SoHo - New York,10012,881,8.7,9.1,8.6,8.3,9.1,7.8,8.4,9.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
AKA Times Square,10036,802,8.8,8.7,8.9,8.5,9.2,7.9,9,9.5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(0.8 miles from center)
Gramercy Townhouse,10003,11,9.5,9.6,9.8,9.6,9.8,8.6,9.6,9,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.2 miles from center)
Blakely New York Hotel,10019,"2,394",8.6,8.8,8.5,8,8.8,8,8.9,9.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"(1,800 feet from center)"
Ace Hotel New York,10001,"1,619",8.3,8.6,8.1,8.2,8.6,7.5,9,9.1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.6 miles from center)
"LIFE Hotel, NoMad",10001,"1,164",8.2,8.6,8,7.6,8.2,7.6,8.4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(1.5 miles from center)
Comfortable 2 bedroom by Wall street,10038,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(4.3 miles from center)
"Club Quarters Hotel, Opposite Rockefeller Center",10019,"1,959",8.1,8,7.8,7.6,8.2,7.4,8.9,9.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(0.6 miles from center)
Lombardy Hotel,10022,972,8.5,8.7,8.6,8.2,8.4,7.9,8.8,9.2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(0.8 miles from center)
Arlo SoHo,10013,"3,957",8.7,9.3,8.4,8.7,9,8,9.2,8.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,(3.1 miles from center)
TRYP by Wyndham Times Square South,10001,"2,792",8.4,8.5,8.4,8.1,8.4,8,8.7,8.9,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1.2 miles from center)
Four-Bedroom Chelsea Apartment,10001,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1.7 miles from center)
Residence Inn by Marriott New York Manhattan/Central Park,10019,"1,930",8.3,8.2,8.5,8.2,8.1,7.5,8.7,9.3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(1,500 feet from center)"
Holiday Inn Express - Times Square South,10018,"2,902",8.3,8.4,8.1,7.9,8.4,7.7,8.1,9.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.2 miles from center)
Millennium Hilton New York One UN Plaza,10017,"3,559",8.4,8.8,8.8,8.2,8.2,7.8,5.7,8.6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,(1.4 miles from center)
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,10018,"4,695",8.3,8.6,8.2,8,8.5,7.7,9.1,8.9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,(1 miles from center)
NoMo SoHo,10013,"1,882",8.3,8.8,8.4,8,7.9,7.4,8.6,9.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,(3.1 miles from center)
Hilton Garden Inn Central Park South,10019,"3,272",8.3,8.6,8.2,7.9,8.3,7.5,8.3,9.2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"(1,500 feet from center)"
The Evelyn,10016,"2,651",8.3,8.6,8.1,7.5,8.5,7.8,8.2,9.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,(1.7 miles from center)
RIU Plaza New York Times Square,10036,"5,602",8.7,9,8.7,8.5,8.6,8,8,9.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,(0.7 miles from center)
1 Hotel Central Park,10019,"1,537",9.0,9.4,9,8.9,9.3,7.9,9.4,9.6,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"(1,950 feet from center)"
