Keyword,Frequency,name
room,11936,Hotel Pennsylvania
location,6935,Hotel Pennsylvania
hotel,6591,Hotel Pennsylvania
staff,3110,Hotel Pennsylvania
old,3030,Hotel Pennsylvania
room,3986,Radisson Martinique on Broadway
location,2722,Radisson Martinique on Broadway
staff,2050,Radisson Martinique on Broadway
hotel,1854,Radisson Martinique on Broadway
great,1330,Radisson Martinique on Broadway
room,813,Residence Inn by Marriott New York Manhattan/Times Square
breakfast,758,Residence Inn by Marriott New York Manhattan/Times Square
location,654,Residence Inn by Marriott New York Manhattan/Times Square
staff,442,Residence Inn by Marriott New York Manhattan/Times Square
great,378,Residence Inn by Marriott New York Manhattan/Times Square
room,327,MADE Hotel
staff,207,MADE Hotel
hotel,191,MADE Hotel
great,153,MADE Hotel
bed,124,MADE Hotel
apartment,7,"Perfect 3 BR, Midtown East, Doorman Apt"
room,6,"Perfect 3 BR, Midtown East, Doorman Apt"
kitchen,6,"Perfect 3 BR, Midtown East, Doorman Apt"
great,6,"Perfect 3 BR, Midtown East, Doorman Apt"
location,5,"Perfect 3 BR, Midtown East, Doorman Apt"
room,554,LUMA Hotel - Times Square
staff,396,LUMA Hotel - Times Square
location,354,LUMA Hotel - Times Square
hotel,337,LUMA Hotel - Times Square
great,251,LUMA Hotel - Times Square
room,2155,The Watson Hotel
location,1110,The Watson Hotel
hotel,1023,The Watson Hotel
staff,879,The Watson Hotel
great,662,The Watson Hotel
room,1778,The Hotel at Times Square
location,1447,The Hotel at Times Square
breakfast,1259,The Hotel at Times Square
hotel,759,The Hotel at Times Square
staff,742,The Hotel at Times Square
view,105,Splendid Apartment by Times SQ
apartment,103,Splendid Apartment by Times SQ
location,69,Splendid Apartment by Times SQ
great,50,Splendid Apartment by Times SQ
time,49,Splendid Apartment by Times SQ
room,910,"The Standard, High Line New York"
view,484,"The Standard, High Line New York"
great,444,"The Standard, High Line New York"
hotel,438,"The Standard, High Line New York"
location,433,"The Standard, High Line New York"
room,1606,citizenM New York Times Square
hotel,770,citizenM New York Times Square
location,739,citizenM New York Times Square
great,729,citizenM New York Times Square
staff,708,citizenM New York Times Square
room,4954,Hotel Edison Times Square
location,3054,Hotel Edison Times Square
hotel,2078,Hotel Edison Times Square
staff,1641,Hotel Edison Times Square
time,1624,Hotel Edison Times Square
room,1866,Wellington Hotel
location,1339,Wellington Hotel
hotel,904,Wellington Hotel
staff,718,Wellington Hotel
great,572,Wellington Hotel
room,759,Gansevoort Meatpacking
hotel,433,Gansevoort Meatpacking
location,412,Gansevoort Meatpacking
great,368,Gansevoort Meatpacking
staff,348,Gansevoort Meatpacking
room,1574,Courtyard by Marriott New York Manhattan/Central Park
location,919,Courtyard by Marriott New York Manhattan/Central Park
hotel,574,Courtyard by Marriott New York Manhattan/Central Park
staff,540,Courtyard by Marriott New York Manhattan/Central Park
great,460,Courtyard by Marriott New York Manhattan/Central Park
room,932,Hyatt Centric Times Square New York
location,646,Hyatt Centric Times Square New York
staff,557,Hyatt Centric Times Square New York
hotel,455,Hyatt Centric Times Square New York
time,397,Hyatt Centric Times Square New York
room,388,"The Langham, New York, Fifth Avenue"
staff,310,"The Langham, New York, Fifth Avenue"
hotel,209,"The Langham, New York, Fifth Avenue"
location,179,"The Langham, New York, Fifth Avenue"
great,165,"The Langham, New York, Fifth Avenue"
location,12,Tribeca Lofts
work,9,Tribeca Lofts
building,8,Tribeca Lofts
great,8,Tribeca Lofts
property,8,Tribeca Lofts
location,1062,Radio City Apartments
room,856,Radio City Apartments
staff,546,Radio City Apartments
great,469,Radio City Apartments
time,390,Radio City Apartments
room,1177,Warwick New York
location,750,Warwick New York
hotel,594,Warwick New York
staff,533,Warwick New York
great,375,Warwick New York
room,41,The Assemblage John Street
staff,20,The Assemblage John Street
great,15,The Assemblage John Street
location,13,The Assemblage John Street
hotel,13,The Assemblage John Street
room,1390,Grand Hyatt New York
location,829,Grand Hyatt New York
hotel,592,Grand Hyatt New York
staff,486,Grand Hyatt New York
great,343,Grand Hyatt New York
room,1899,Crowne Plaza Times Square
location,1501,Crowne Plaza Times Square
staff,906,Crowne Plaza Times Square
hotel,850,Crowne Plaza Times Square
great,696,Crowne Plaza Times Square
room,1003,Executive Hotel Le Soleil New York
staff,539,Executive Hotel Le Soleil New York
location,515,Executive Hotel Le Soleil New York
hotel,441,Executive Hotel Le Soleil New York
great,299,Executive Hotel Le Soleil New York
staff,199,AKA Times Square
location,198,AKA Times Square
room,173,AKA Times Square
apartment,165,AKA Times Square
time,121,AKA Times Square
room,255,AKA Central Park
location,220,AKA Central Park
staff,144,AKA Central Park
hotel,104,AKA Central Park
great,104,AKA Central Park
room,762,Hyatt Place New York/Midtown-South
breakfast,657,Hyatt Place New York/Midtown-South
location,565,Hyatt Place New York/Midtown-South
staff,452,Hyatt Place New York/Midtown-South
great,341,Hyatt Place New York/Midtown-South
location,3,Gramercy Townhouse
property,2,Gramercy Townhouse
fine,2,Gramercy Townhouse
great,2,Gramercy Townhouse
apartment,2,Gramercy Townhouse
room,792,InterContinental New York Times Square
location,552,InterContinental New York Times Square
hotel,482,InterContinental New York Times Square
staff,465,InterContinental New York Times Square
bed,298,InterContinental New York Times Square
room,1478,La Quinta Inn & Suites Manhattan
breakfast,1065,La Quinta Inn & Suites Manhattan
location,1044,La Quinta Inn & Suites Manhattan
hotel,610,La Quinta Inn & Suites Manhattan
staff,603,La Quinta Inn & Suites Manhattan
room,476,Hyatt House New York/Chelsea
breakfast,307,Hyatt House New York/Chelsea
staff,259,Hyatt House New York/Chelsea
