name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist
Hotel Pennsylvania,10001.0,35615.0,5.6,5.0,4.9,4.7,5.6,5.2,6.3,8.3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1.4
Radisson Martinique on Broadway,10001.0,7925.0,8.2,8.5,8.1,7.9,8.1,7.5,8.5,9.2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.4
Residence Inn by Marriott New York Manhattan/Times Square,10018.0,3537.0,8.3,8.2,8.2,8.0,8.4,7.5,8.5,9.4,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.1
MADE Hotel,10001.0,1192.0,9.1,9.4,9.0,8.9,9.4,8.5,9.6,9.4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.6
LUMA Hotel - Times Square,10018.0,2212.0,9.2,9.5,9.3,9.0,9.3,8.3,9.1,9.7,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.0
"The Standard, High Line New York",10014.0,2822.0,8.3,8.7,8.3,8.2,8.3,7.2,8.4,9.2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,2.3
citizenM New York Times Square,10019.0,5323.0,9.2,9.5,9.1,9.2,9.4,8.3,9.6,9.7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2600.0
Gansevoort Meatpacking,10014.0,1863.0,8.3,8.6,8.3,8.1,8.4,7.3,8.9,9.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2.3
Courtyard by Marriott New York Manhattan/Central Park,10019.0,5459.0,8.0,8.2,8.1,7.7,7.9,7.2,8.4,9.1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1500.0
"The Langham, New York, Fifth Avenue",10018.0,1143.0,9.2,9.5,9.4,9.0,9.5,8.3,9.3,9.5,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.2
Hyatt Centric Times Square New York,10036.0,4283.0,8.7,9.1,9.0,8.6,8.5,7.8,9.1,9.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.7
The Assemblage John Street,10038.0,66.0,9.4,9.7,9.7,9.2,9.5,8.8,10.0,9.2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,3.7
Splendid Apartment by Times SQ,10036.0,414.0,8.0,7.8,8.3,7.9,7.9,7.7,9.1,8.7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0
Warwick New York,10019.0,4010.0,8.4,8.6,8.5,8.0,8.3,7.5,8.2,9.4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2450.0
Radio City Apartments,10019.0,4036.0,8.5,8.6,8.2,8.1,8.5,8.3,9.0,9.6,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,3100.0
Crowne Plaza Times Square,10019.0,7333.0,8.2,8.3,8.3,7.9,8.1,7.2,8.4,9.3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2950.0
Executive Hotel Le Soleil New York,10018.0,2787.0,8.5,8.8,8.5,8.2,8.7,7.8,8.8,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.2
Hyatt Place New York/Midtown-South,10018.0,3458.0,8.6,8.7,8.5,8.2,8.8,7.9,8.8,9.3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1.2
InterContinental New York Times Square,10036.0,3175.0,8.0,8.2,8.3,7.8,7.7,7.1,7.6,8.9,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0.8
AKA Central Park,10019.0,866.0,8.5,8.3,8.6,8.2,8.7,7.6,9.3,9.5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,2300.0
Hyatt House New York/Chelsea,10001.0,1738.0,8.8,8.9,8.9,8.7,8.8,8.2,9.0,9.3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1.6
Archer Hotel New York,10018.0,1188.0,8.9,9.3,8.7,8.7,9.3,8.0,9.2,9.5,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.1
"The Beekman, a Thompson Hotel",10038.0,1937.0,9.3,9.6,9.4,9.3,9.5,8.7,9.4,9.0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.7
New York Marriott Marquis,10036.0,3392.0,8.2,8.3,8.3,8.0,8.2,7.0,4.6,9.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0.7
Cambria Hotel New York - Times Square,10036.0,3904.0,8.8,9.1,8.7,8.5,8.6,8.2,9.1,9.5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.8
Broadway at Times Square Hotel,10036.0,3163.0,8.4,8.3,8.1,7.9,8.7,7.9,8.6,9.5,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.7
MOXY NYC Times Square,10018.0,2719.0,8.4,8.8,8.0,8.2,8.6,7.7,8.6,9.3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.2
Nolitan Hotel SoHo - New York,10012.0,881.0,8.7,9.1,8.6,8.3,9.1,7.8,8.4,9.3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3.1
AKA Times Square,10036.0,802.0,8.8,8.7,8.9,8.5,9.2,7.9,9.0,9.5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0.8
Gramercy Townhouse,10003.0,11.0,9.5,9.6,9.8,9.6,9.8,8.6,9.6,9.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2.2
Blakely New York Hotel,10019.0,2394.0,8.6,8.8,8.5,8.0,8.8,8.0,8.9,9.4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1800.0
Ace Hotel New York,10001.0,1619.0,8.3,8.6,8.1,8.2,8.6,7.5,9.0,9.1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.6
"LIFE Hotel, NoMad",10001.0,1164.0,8.2,8.6,8.0,7.6,8.2,7.6,8.4,9.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1.5
