,pos,neg,total
Hotel Pennsylvania,0.2582041847274091,-0.091733586315024,0.014945373691821202
Radisson Martinique on Broadway,0.42041591085263813,0.0078540812538421,0.2514440005269386
Residence Inn by Marriott New York Manhattan/Times Square,0.426339149515097,0.005075878688495645,0.23835288439303728
MADE Hotel,0.44624970999202107,0.054691065222185795,0.31966687043962955
"Perfect 3 BR, Midtown East, Doorman Apt",0.41413265306122454,0.010585800104843076,0.18713754827325996
LUMA Hotel - Times Square,0.4087604160330585,0.04792431204124755,0.30485686446895705
The Watson Hotel,0.3830750804499737,-0.0025015388139639186,0.2022008311046964
The Hotel at Times Square,0.41661411335832044,0.010120789870657855,0.23810194929696035
Splendid Apartment by Times SQ,0.46655147195963514,0.003709862555854713,0.23479272118731848
"The Standard, High Line New York",0.4579293499648615,0.017727939361436785,0.24319574043426842
citizenM New York Times Square,0.4108666851397165,0.06779614382174262,0.31435081731778947
Hotel Edison Times Square,0.4019374720382717,-0.014327491661849984,0.17740599146251596
Wellington Hotel,0.3786679534009814,-0.005520767438242841,0.19544415969557077
Gansevoort Meatpacking,0.4478062920505635,0.026481240320263104,0.22936153864415296
Courtyard by Marriott New York Manhattan/Central Park,0.4117002796004228,0.0012515796605290107,0.22462066083114599
Hyatt Centric Times Square New York,0.4448645940633732,0.01858618715003417,0.2937300694509243
"The Langham, New York, Fifth Avenue",0.4240094280689161,0.04941108565080607,0.3219091431453181
Tribeca Lofts,0.42966810966810987,-0.0509903748733536,0.25317632237554116
Radio City Apartments,0.39106244253563155,0.03861912231768029,0.2637935062398532
Warwick New York,0.42023522975145017,0.014247396488092796,0.25434977777467954
The Assemblage John Street,0.35178873966942126,0.15469873663751216,0.3173616635517003
Grand Hyatt New York,0.3973658101651184,-0.01722342405755974,0.17680347036827204
Crowne Plaza Times Square,0.4419821312166042,0.008419682219910319,0.2410509473490882
Executive Hotel Le Soleil New York,0.4187077147744694,0.008449603173354324,0.2524153863342507
AKA Times Square,0.399503154758002,0.02746448657162941,0.2518632760807378
AKA Central Park,0.391689310346718,0.047321961360345215,0.24851705190539924
Hyatt Place New York/Midtown-South,0.423587044603412,0.02960702938257344,0.27482851848831336
Gramercy Townhouse,0.3931116409632035,0.1127604166666667,0.31241045660688516
InterContinental New York Times Square,0.4294931278218129,0.027479591991523396,0.23843958344686597
La Quinta Inn & Suites Manhattan,0.3967598730828255,-0.0017824167303127799,0.21287078035113216
Hyatt House New York/Chelsea,0.4247638999063653,0.047538070259588644,0.297074186474061
"The Beekman, a Thompson Hotel",0.45286578685694145,0.07520424186239531,0.33305773059690286
New York Marriott Marquis,0.4501577362187571,-0.013785818635579157,0.2180650788049517
Broadway at Times Square Hotel,0.3952779080859256,0.015374615022718648,0.26218502067751154
MOXY NYC Times Square,0.40728495766492084,0.024139779805458367,0.23523839447857584
Cambria Hotel New York - Times Square,0.40032571257348776,0.021927707140112,0.28194305380341067
Blakely New York Hotel,0.3875215809700548,0.029894729072549767,0.24882241920382958
Archer Hotel New York,0.40638220309920914,0.029104984918771833,0.2752077153465846
Nolitan Hotel SoHo - New York,0.450064051438495,0.04244088873216234,0.31492110237633075
Millennium Broadway Times Square,0.43866276992338044,-0.024718170455082306,0.1903732780615513
New York Hilton Midtown,0.41901178665621985,0.001185474570475603,0.20051845877753677
Element Times Square West,0.41215040322276164,-0.006039020371377237,0.21158121245503647
Ace Hotel New York,0.44627610280526997,0.020367486522225392,0.24321762374250455
TRYP by Wyndham Times Square South,0.40482702124785014,0.018393041185999326,0.24760417776442686
"LIFE Hotel, NoMad",0.39544371648675364,0.025530691631711407,0.2279426692116015
"Hudson New York, Central Park",0.37288391794244796,-0.027445150198112604,0.13412554949422623
Lombardy Hotel,0.3991145286575636,0.05568569830189872,0.2610145318597193
Arlo SoHo,0.39646557213941047,0.021666735167509554,0.24736806979284454
Wingate by Wyndham Manhattan Midtown,0.3994141963377243,-0.017001683858848978,0.19477826503834403
"Club Quarters Hotel, Opposite Rockefeller Center",0.4256709464769304,-0.006800201780982492,0.22422587094598084
Beautiful Manhattan Apartment,0.3450487012987013,0.013014069264069268,0.23437049062049062
Midtown West 2 Bedroom Apartment,0.38800170068027207,-0.04618055555555554,0.29151675485008816
Residence Inn by Marriott New York Manhattan/Central Park,0.45062229270872556,0.005736567681703697,0.26533326067746454
The Evelyn,0.4151967450027552,0.026225729032197973,0.23789809853643837
The Gatsby Hotel,0.4383271522624201,0.03237611193307394,0.2643456152987404
Holiday Inn Express - Times Square South,0.44205688874209487,0.014333958224574405,0.27384349030321653
"The New Yorker, A Wyndham Hotel",0.4036504643524887,-0.012069536001649016,0.20128048847499486
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,0.4157934244487364,0.011540232500401539,0.2457269070263132
La Quinta Inn & Suites New York City Central Park,0.3546930014702862,-0.01811103037816212,0.17164213076792023
Millennium Hilton New York One UN Plaza,0.4474217817098535,0.013974990125849842,0.26249936840689586
Hilton Garden Inn Central Park South,0.40931875583072885,-0.0042891389577413095,0.23598994972731674
Chambers Hotel,0.43427666881307625,0.04478841136262105,0.30012125616466107
