name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi,Laundry,Water Park,Outdoor Pool,Pet Friendly,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Universal's Cabana Bay Beach Resort,32819,"7,426",8.9,9.1,8.9,9,8.8,8.4,8.7,9.4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(6.8 miles from center)
Eight-Bedroom Villa 8882,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Lancaster 251L Eight-Bedroom House,34843,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Regal Oaks – The Official CLC World Resort,34746,"3,252",8.8,8.6,9.2,8.9,8.4,8.8,8.3,9.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Magic Village Resort Orlando Near Disney,34747,672,9.1,9.1,9.4,9.1,8.9,8.7,8.9,9.2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(18.6 miles from center)
Biltmore 7608W Eleven-Bedroom House,34796,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Floridays Resort Orlando Near Disney/Seaworld,32821,"3,719",8.5,8,8.8,8.5,8.6,8.5,8.1,8.9,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(11.8 miles from center)
"Eight Bedrooms with Private Pool, Spa and Grill (1828)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(20.5 miles from center)
Encore Club Brand New 6BR 5.5BA,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Universal's Hard Rock Hotel,32819,"2,484",9.0,9.2,9.3,9.2,9.1,7.9,8.8,9.7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(6.2 miles from center)
