name,Zip code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist
Universal's Cabana Bay Beach Resort,32819.0,7426.0,8.9,9.1,8.9,9.0,8.8,8.4,8.7,9.4,0,0,0,1,1,0,0,1,1,0,1,1,0,6.8
Regal Oaks – The Official CLC World Resort,34746.0,3252.0,8.8,8.6,9.2,8.9,8.4,8.8,8.3,9.1,0,1,0,1,0,0,0,1,1,0,1,1,0,16.2
Magic Village Resort Orlando Near Disney,34747.0,672.0,9.1,9.1,9.4,9.1,8.9,8.7,8.9,9.2,0,1,0,0,0,1,0,1,1,0,1,1,0,18.6
Floridays Resort Orlando Near Disney/Seaworld,32821.0,3719.0,8.5,8.0,8.8,8.5,8.6,8.5,8.1,8.9,1,0,0,1,1,0,0,1,0,1,1,0,0,11.8
Universal's Hard Rock Hotel,32819.0,2484.0,9.0,9.2,9.3,9.2,9.1,7.9,8.8,9.7,0,0,0,1,1,0,0,1,1,1,1,0,0,6.2
Universal's Loews Sapphire Falls Resort,32819.0,2507.0,9.1,9.3,9.2,9.2,9.1,8.4,8.8,9.5,0,0,0,1,1,0,0,1,0,1,1,1,0,6.8
Orlando Resort Rentals at Universal Boulevard,32819.0,878.0,9.2,9.1,9.4,9.2,8.8,9.1,9.2,9.4,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1
Wyndham Bonnet Creek,32830.0,492.0,8.6,8.6,8.9,8.8,8.3,8.2,8.6,9.2,0,1,0,0,0,0,0,1,0,0,1,1,0,14.9
Sheraton Vistana Resort Villas,32821.0,2458.0,8.9,8.7,9.1,8.9,8.5,8.7,8.9,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,13.7
Hyatt Regency Orlando International Airport Hotel,32827.0,1770.0,8.8,9.0,9.0,8.8,9.0,7.5,8.5,9.4,0,0,0,1,1,0,0,1,0,0,1,1,0,8.1
Homewood Suites by Hilton Orlando Theme Parks,32821.0,795.0,9.3,9.5,9.5,9.3,9.0,9.1,8.9,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,9.9
Universal's Loews Royal Pacific Resort,32819.0,1793.0,9.1,9.2,9.3,9.2,9.2,8.0,8.7,9.6,0,0,0,1,1,0,0,1,1,1,1,0,0,6.8
SpringHill Suites by Marriott Orlando Lake Buena Vista in Marriott Village,32821.0,4325.0,8.6,8.6,8.5,8.4,8.6,8.5,8.5,9.0,0,0,0,1,1,0,0,1,1,0,0,1,0,13.0
Sonesta ES Suites Orlando International Drive,32819.0,886.0,8.6,8.3,8.7,8.5,8.8,8.3,8.1,9.3,1,1,0,1,0,0,0,1,0,0,1,1,0,8.1
WorldQuest Orlando Resort,32821.0,1086.0,8.5,8.2,8.8,8.4,8.6,8.4,8.4,8.8,0,1,0,1,0,1,0,1,0,0,1,1,0,14.3
Hawthorn Suites by Wyndham Kissimmee Gateway,34747.0,404.0,8.7,8.5,8.8,8.5,8.6,8.9,8.4,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,18.0
SpringHill Suites by Marriott Orlando at Millenia,32839.0,77.0,9.4,9.8,9.5,9.5,9.3,9.2,6.9,9.3,0,1,1,0,0,0,0,1,1,0,0,1,0,4.3
Staybridge Suites Orlando - Lake Buena Vista,32836.0,2905.0,9.0,8.9,9.1,9.0,9.1,9.0,9.1,9.3,1,1,0,1,0,0,0,1,0,0,0,1,0,12.4
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista in the Marriott Village,32821.0,3108.0,8.7,8.7,8.6,8.5,8.7,8.6,8.6,9.0,0,0,0,1,1,0,0,1,0,0,0,1,0,13.0
Fairfield Inn Suites by Marriott Orlando At SeaWorld,32821.0,2292.0,8.9,9.0,8.9,8.8,9.1,8.7,8.9,9.2,1,0,0,1,1,0,0,1,0,0,1,1,0,9.3
"Lake Buena Vista Resort Village and Spa, a staySky Hotel & Resort",32821.0,1692.0,8.5,8.1,8.7,8.5,8.4,8.4,8.7,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,13.7
Sheraton Vistana Villages Resort Near Universal Blvd.,32821.0,3142.0,8.8,8.7,9.1,8.9,8.7,8.6,8.7,9.1,0,1,0,1,0,0,0,1,0,0,1,1,0,11.8
Comfort Suites Maingate East,34746.0,1117.0,8.9,9.0,9.0,8.8,8.8,9.0,9.2,9.1,1,1,0,0,0,0,0,1,1,0,1,1,0,16.2
Universal's Loews Portofino Bay Hotel,32819.0,580.0,8.9,9.0,9.2,9.1,8.9,7.9,9.1,9.5,0,0,0,1,1,0,0,1,1,1,1,0,0,5.6
Windsor Hills Apartment,34747.0,50.0,9.2,8.9,9.3,9.2,8.9,9.5,9.2,9.6,0,1,1,1,0,0,0,1,0,0,0,1,0,19.3
Olivia's Dream Villa in Windsor Hills,34747.0,10.0,9.3,9.3,9.8,9.5,8.8,9.3,10.0,9.5,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3
Hyatt Place - Orlando Convention Center,32819.0,669.0,8.6,8.6,8.7,8.4,8.9,8.2,8.6,9.1,0,1,0,1,0,0,0,1,0,1,1,1,0,8.1
Walt Disney World Dolphin,32830.0,2233.0,8.2,8.3,8.3,8.2,8.3,7.2,7.3,8.9,1,0,0,1,1,0,0,0,0,0,1,1,1,15.5
