,pos,neg,total
Universal's Cabana Bay Beach Resort,0.39132921851839597,0.026742940215664292,0.24840366599270727
Regal Oaks – The Official CLC World Resort,0.41009683442429934,0.03472382652291376,0.23782871937444328
Magic Village Resort Orlando Near Disney,0.3934731005288347,0.08848151336967124,0.27689761477470587
Floridays Resort Orlando Near Disney/Seaworld,0.42554802019786847,0.032419013708598815,0.25419764481414814
Universal's Hard Rock Hotel,0.40809182816219086,0.010276055282302927,0.27441369115264674
Universal's Loews Sapphire Falls Resort,0.42058342606082133,0.03142111688699645,0.27451522806876133
Orlando Resort Rentals at Universal Boulevard,0.4069318757960881,0.11381439929118518,0.3058350763446535
Wyndham Bonnet Creek,0.4191271056535894,0.02583426626994291,0.2211439217561466
Sheraton Vistana Resort Villas,0.440340159989775,0.02567438300394528,0.2602670247989933
Hyatt Regency Orlando International Airport Hotel,0.3947448037371059,0.025217306133044383,0.2628997749978268
Homewood Suites by Hilton Orlando Theme Parks,0.43418564554214883,0.09764556771988173,0.32595812499026444
Universal's Loews Royal Pacific Resort,0.4057757389095272,0.022831105444431742,0.28761038122667626
SpringHill Suites by Marriott Orlando Lake Buena Vista in Marriott Village,0.43442051138986454,0.03024915486359846,0.25504362790734153
Sonesta ES Suites Orlando International Drive,0.45357436325965156,0.011699891306555351,0.2951751223700676
WorldQuest Orlando Resort,0.43246908509199194,0.009601763903517295,0.23346497433365535
Hawthorn Suites by Wyndham Kissimmee Gateway,0.4298811039206447,0.0267612822700879,0.26104639365668486
SpringHill Suites by Marriott Orlando at Millenia,0.4161856657858983,0.20110612426788896,0.35319578757017717
Staybridge Suites Orlando - Lake Buena Vista,0.45053842276909184,0.046876524849871926,0.32265537510717524
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista in the Marriott Village,0.45347526824822143,0.03363922814220756,0.26707316253479246
Fairfield Inn Suites by Marriott Orlando At SeaWorld,0.4354451911605937,0.04024499903722239,0.3023594328092097
"Lake Buena Vista Resort Village and Spa, a staySky Hotel & Resort",0.44711105838172754,0.006359397246864639,0.23345249889584552
Sheraton Vistana Villages Resort Near Universal Blvd.,0.44238676053149295,0.03647204906905842,0.25951399888839866
Comfort Suites Maingate East,0.41629966837239873,0.05481396107322042,0.290079768812889
Universal's Loews Portofino Bay Hotel,0.4082987165604564,0.023304714432062067,0.255828384311734
Windsor Hills Apartment,0.5235252192982456,0.06671849692257856,0.344756984126984
Olivia's Dream Villa in Windsor Hills,0.496969696969697,-0.0654761904761905,0.2782407407407408
Hyatt Place - Orlando Convention Center,0.41847952534374955,0.012490656744689,0.27046795777840865
Walt Disney World Dolphin,0.4578658163050226,-0.021822399694170377,0.19488349346791714
Staybridge Suites Orlando at SeaWorld,0.40552309611166104,0.08632615976365976,0.27805369832324
DoubleTree by Hilton at the Entrance to Universal Orlando,0.3731399474762682,-0.013427336262463499,0.19386801705496373
Waldorf Astoria Orlando,0.4756765350482753,0.04591861893678185,0.2967277218233382
Walt Disney World Swan,0.4513969097266957,0.00932243201676793,0.2359498268781765
Residence Inn by Marriott Orlando at SeaWorld,0.4456200669236409,0.03209922230531649,0.26822618186955344
Hyatt House across from Universal Orlando Resort,0.450523538961039,0.1255874680874681,0.28155678210678214
Water Oak IR700,0.5438888888888889,0.18572916666666667,0.3392261904761904
Casiola Vacation Homes,0.3798292582588176,0.009117671695442926,0.22276034842767586
Embassy Suites by Hilton Orlando International Drive Convention Center,0.48028392722507024,0.012403080685677668,0.28611738112921914
TownePlace Suites by Marriott Orlando at SeaWorld,0.4246446666945055,0.07130551249516767,0.310556252342357
Residence Inn by Marriott Orlando at Millenia,0.3828989898989899,0.088768115942029,0.2834135472370767
Hilton Grand Vacations at Tuscany Village,0.427296442411498,0.06091342530283037,0.28542017215541743
Four Seasons Resort Orlando at Walt Disney World Resort,0.44855135442527366,-0.07857559724226393,0.3017975350475349
Casa de Disney,0.29259259259259257,0.0,0.29259259259259257
Hampton Inn Orlando Near Universal Blv/International Dr,0.43258893178042873,-0.02307955371539185,0.25000729598503635
Homewood Suites by Hilton Orlando-Intl Drive/Convention Ctr,0.44341601752424276,0.029722232609004775,0.30230982370344966
Comfort Suites UCF/Research Park,0.42087022843367344,0.007281049297924303,0.2764616265298762
Hyatt Place Orlando Lake Buena Vista,0.42543232846759405,0.0813847693777271,0.3115487327059133
Hyatt Regency Orlando,0.4281469550264474,0.028955378871588836,0.25942760076336546
Eight Bedrooms with Private Pool and Spa (1747),0.5430555555555555,0.12261904761904763,0.24874999999999997
Galleria Palms Orlando,0.38552236133503703,0.02783012821518324,0.22954336983174808
Kissimmee Area Pool Home,0.525,0.06666666666666668,0.2044871794871795
Summerville Resort Five Bedroom Townhome SV102,0.5474074074074076,0.1733333333333333,0.3263636363636363
Courtyard by Marriott Orlando Lake Buena Vista in the Marriott Village,0.4461095471848674,0.03109271650319359,0.2626253337727795
The Point Hotel & Suites Universal Blvd,0.4231965788415579,0.018550254044743603,0.26916985955813516
SpringHill Suites by Marriott Orlando at SeaWorld,0.4316183797184571,0.09432258344668737,0.3139320806484214
Holiday Inn Orlando – Disney Springs™ Area,0.45283732847344627,0.03231661426306474,0.2823192379842411
Spacious Vacation Home Rental House 77Tb12,0.37416666666666665,0.01700000000000001,0.1955833333333334
Residence Inn Orlando Lake Buena Vista,0.4953353937728933,0.05766289428887087,0.266673843022057
Hilton Grand Vacations at SeaWorld,0.42791224227161717,0.026724889273864794,0.25663050822730743
"The Ritz-Carlton Orlando, Grande Lakes",0.4480853107882761,-0.01204050422700029,0.23485117947793424
Formosa Garden Pool Home,0.3645510204081632,0.07916666666666668,0.2123460317460317
Renaissance Orlando at SeaWorld®,0.4590193319354272,0.05826480252918402,0.29621629506427005
Caribe Royale Orlando Near Disney,0.4522641538405159,0.0023057854565086307,0.23705922280226077
Wyndham Grand Orlando Resort Bonnet Creek,0.46048287546756245,0.007079295436798601,0.23529086464223672
Vista Cay Resort by Millenium at Universal Blvd.,0.4022080968888166,0.01912371897957283,0.22156309137776606
Orlando Escape,0.4398260814311951,0.08189036381514256,0.27415317902052605
Universal’s Family Suites at Cabana Bay Beach Resort,0.3959255952380953,0.045561868686868706,0.24770493902828092
The Boat House,0.39497222222222217,0.10892857142857143,0.2805869324473975
Homewood Suites by Hilton Orlando-Nearest to Universal Studios,0.3919059772055129,0.06367420933852062,0.28918975165416183
Quality Inn & Suites By The Parks,0.42086022085171215,0.03249540441836698,0.27920479533479176
Villas of Grand Cypress,0.45740991060400593,0.034190868986894066,0.33627831058826857
Hyatt Place across from Universal Orlando Resort,0.38645746129392766,-0.0004909563136734163,0.24162435136310725
Disney Bunk Room--Windsor Hills,0.3407070707070707,0.01666666666666665,0.22561771561771563
Blue Heron Beach Resort,0.44290620110188217,0.0022544603324880018,0.2479535965660701
Holiday Inn Express-International Drive,0.43812866991042815,0.018058594757941145,0.2690048455310342
Hyatt Regency Grand Cypress,0.47411045196469753,0.027144671917674855,0.28563051548279983
Courtyard by Marriott Orlando South/John Young Parkway,0.4115472596284405,0.06721375719082141,0.31267264971870246
Loyalty Vacation Homes - Kissimmee,0.42614374017359075,0.021873011865426915,0.2504480228075955
Comfort Suites,0.39295301599121046,0.040849927259501734,0.2865999289359097
Best Western Orlando Gateway Hotel,0.39986642523160754,0.03767241647147022,0.25205039602018914
Sheraton Suites Orlando Airport Hotel,0.4268054240462756,0.034283753314590805,0.2707172827851253
Fairfield Inn & Suites by Marriott Orlando International Drive/Convention Center,0.4398240878712265,0.006785092037709436,0.2668928582815541
Hilton Orlando,0.38670494281859347,0.015198795473349057,0.21682971889908342
Marriott's Cypress Harbour Villas,0.4480922654304349,0.09313555239452517,0.3484943605355386
Oakwater Resort 7514,0.28155555555555556,-0.009469696969696961,0.15221099887766557
Cypress Pointe Resort by Diamond Resorts,0.4428752227710565,0.046469971976685946,0.24967500288480282
Universal Studios Area Apartment,0.3827080808080807,0.04819978632478634,0.23801894644771737
Grande Villas Resort By Diamond Resorts,0.4455893540367931,-0.008996301770094384,0.2604788352616182
Legacy Vacation Resorts - Lake Buena Vista,0.39558544493323156,0.03882833382300989,0.24738171354660085
Grand Beach Resort By Diamond Resorts,0.38914070225203024,0.04588119224326121,0.25957579952186877
Patty's Place,0.45749999999999996,0.01042568542568543,0.2734105763517528
Hampton Inn & Suites Orlando/Downtown South - Medical Center,0.43035709148036616,0.028667121199967904,0.28334549586792485
Parkway International Celebration Area By Diamond Resorts,0.3900375784135173,0.030558885298468622,0.2619283390816381
Rocco's Retreat,0.6733333333333335,0.0,0.5237037037037038
Holiday Inn Express & Suites - Orlando At Seaworld,0.4620665482101931,0.15641637439883055,0.33403187896387776
Mystic Dunes Resort & Golf Club By Diamond Resorts,0.43649057600211133,0.014187111252703704,0.23564643182288883
Wingate By Wyndham - Orlando International Airport,0.41101666019668726,0.017112886017287516,0.24480657147271936
Comfort Suites Orlando Airport,0.3916386312923855,0.018624827439565117,0.26984332452752735
Hampton Inn & Suites Orlando-East UCF,0.4527081484226068,0.042020698765036744,0.30686235360737235
Aloft Orlando Downtown,0.4452507090895854,0.00703660740755504,0.23533720278791972
Playhouse,0.4375,-0.4,0.26999999999999996
Encore Club Orlando,0.48727272727272736,0.25,0.45076923076923087
The Florida Hotel & Conference Center - BW Premier Collection,0.44934410589503954,0.042644042465471,0.31015618476140544
JW Marriott Orlando Grande Lakes,0.4409643896151009,-0.033272885396719076,0.2216193744841879
Best Western Lake Buena Vista – Disney Springs® Resort Area,0.4319112078941055,-0.0035215693907287983,0.21691220800339975
Embassy Suites by Hilton- Lake Buena Vista Resort,0.47653867420413776,0.01786108888259079,0.25665356779224346
Luxury Windsor Hills Condo,0.3932792207792208,0.008620842627691937,0.20127607570381006
Homewood Suites by Hilton Lake Buena Vista,0.4553412528306596,0.049807876921629586,0.2949716759880994
Fairfield Inn & Suites by Marriott Orlando Kissimmee/Celebration,0.4593473190412529,0.06118853174603174,0.2906359684924304
Embassy Suites by Hilton Orlando International Drive I Drive 360,0.49390844650421273,-0.021483702519150282,0.31118123451126156
"Grand Bohemian Hotel Orlando, Autograph Collection",0.44501872352911914,-0.014126998355383079,0.24598162816204952
Embassy Suites Orlando - Downtown,0.4497477088645755,0.04271710292918119,0.29472756938492994
Holiday Inn Orlando East-UCF Area,0.4511835279304026,0.023281542531542524,0.284056874775551
Clarion Inn & Suites Universal Studios Area,0.3677802805301066,0.005426004823199555,0.19633994865598187
Encore Club at Reunion - 5BD Home - EC101,0.6333333333333333,0.08333333333333333,0.35833333333333334
Hyatt Place Orlando Airport,0.41274370578038444,0.012005509922176598,0.2681023365832925
Marriott's Harbour Lake,0.4584770782795411,0.07622461647601311,0.3479352379405472
Gaylord Palms Resort & Convention Center,0.47624662162727854,0.001076133015624165,0.20666819165092096
Hilton Garden Inn Orlando International Drive North,0.40585031223233103,0.025531519654841812,0.2956830080372146
Park Plaza Hotel Orlando - Winter Park,0.41703967376552314,0.041189903846153876,0.24182867582915846
Blue Tree Resort at Lake Buena Vista,0.42853156958688726,-0.016691785372984182,0.2220140878569635
"Castle Hotel, Autograph Collection",0.48197191724051514,0.02840406985085003,0.28600270229044306
Tink's Movie Castle,0.48666666666666664,-0.1,0.33999999999999997
Courtyard by Marriott Orlando Lake Nona,0.46429538524877495,0.0019527253049980444,0.3117344264749924
